AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA
1.282302,1.107487,0.436797,0.329169,0.216911,3.83987,3.343121,0.576486,0.213743,0.265032,1.829058,0.800062,0.524777,0.381366,0.221629,0.253739,0.412189,0.203123,0.131445,0.124798,1.375309,4.441457,0.844602,0.841456,1.324206,2.361612,1.827408,1.200113,1.291985,1.096136,2.625307,1.127446,0.896174,1.041325,0.600355,1.813335,0.734914,0.432386,0.417411,0.464091,5.773942,1.169829,0.665621,0.544075,0.37265,2.511806,0.819546,0.597074,0.418609,0.206625,13.758063,1.697294,0.990429,0.517462,0.496337,2.617853,0.915877,0.316602,0.374341,0.144869
0.910924,0.96115,0.444074,0.304301,0.211751,3.883539,3.255117,0.540971,0.197717,0.243328,1.438531,0.69869,0.4913,0.346634,0.212725,0.29571,0.404362,0.238512,0.108037,0.127791,1.431833,4.277906,0.862855,1.007718,1.278375,2.291712,1.877935,1.247567,1.29842,1.040516,2.642849,1.218091,1.067077,0.970227,0.601798,2.115553,0.755001,0.524727,0.388652,0.476889,4.837432,0.963121,0.614969,0.476394,0.385426,2.117432,0.709719,0.559414,0.404217,0.223004,12.213884,1.435636,0.87707,0.476543,0.508389,2.088627,0.741516,0.298343,0.328215,0.148468
0.638156,0.819274,0.421433,0.267545,0.21782,3.651615,2.79166,0.44608,0.184601,0.23018,1.062177,0.615908,0.440491,0.298665,0.213899,0.343793,0.375748,0.260297,0.089618,0.132593,1.368291,4.035898,0.884711,1.178249,1.180088,1.968833,1.963,1.24531,1.270449,0.959878,2.385453,1.343585,1.209827,0.893498,0.592532,2.332628,0.783171,0.643363,0.36404,0.4905,3.65394,0.809037,0.542449,0.417493,0.404812,1.660081,0.6492,0.488603,0.3723,0.248688,9.599195,1.25209,0.742141,0.436188,0.524661,1.604765,0.61367,0.277465,0.270476,0.160377
0.56747,0.763843,0.37688,0.230372,0.235561,3.112249,2.114171,0.33279,0.179474,0.229948,0.871925,0.612625,0.371268,0.24948,0.224533,0.380716,0.332145,0.265129,0.081312,0.136618,1.195515,3.816349,0.933941,1.298046,1.047411,1.517126,2.028075,1.184821,1.217127,0.87973,2.001032,1.445756,1.289399,0.832475,0.573045,2.38449,0.827361,0.772306,0.34938,0.495828,2.693029,0.822198,0.473148,0.387494,0.426349,1.331527,0.703172,0.388868,0.333991,0.278326,6.711115,1.287359,0.640949,0.424885,0.545403,1.35647,0.608651,0.271934,0.223103,0.176648
0.64399,0.852862,0.341987,0.207735,0.259383,2.563218,1.46536,0.260655,0.187003,0.241282,0.873002,0.722444,0.30416,0.217996,0.240898,0.43103,0.288106,0.260962,0.085994,0.138939,0.971126,3.719491,1.035617,1.324664,0.918791,1.051205,2.040356,1.088463,1.153448,0.820078,1.562175,1.492314,1.285903,0.801443,0.545799,2.24049,0.898566,0.893287,0.355129,0.486521,2.033009,1.116135,0.448464,0.403458,0.441434,1.149305,0.905736,0.290651,0.308735,0.30422,4.078717,1.683038,0.641501,0.470408,0.56144,1.288167,0.759036,0.301801,0.206867,0.19039
0.850617,1.082661,0.361321,0.21138,0.279548,2.085478,1.046991,0.282089,0.210142,0.257708,1.072964,0.927637,0.278348,0.221719,0.258111,0.489982,0.257002,0.259517,0.103857,0.140219,0.755766,3.799653,1.202412,1.253726,0.831999,0.743262,2.010185,0.979911,1.085808,0.78862,1.274548,1.495024,1.212455,0.805914,0.515591,1.936381,1.000359,0.987536,0.388832,0.463021,2.010555,1.711389,0.505917,0.470643,0.442119,1.204263,1.228445,0.243827,0.316741,0.319391,2.462636,2.46053,0.789554,0.58517,0.560017,1.391831,1.027989,0.3809,0.232383,0.195323
1.123088,1.39437,0.465323,0.240382,0.286625,1.797839,0.934339,0.41285,0.24611,0.270115,1.400907,1.182249,0.327924,0.26129,0.271251,0.580552,0.245567,0.267639,0.131312,0.141514,0.593688,4.002689,1.400554,1.122016,0.813333,0.655906,1.96526,0.877992,1.014552,0.779908,1.225111,1.520501,1.121382,0.84167,0.489325,1.570602,1.140366,1.052933,0.444988,0.433443,2.580892,2.53121,0.670281,0.576581,0.426371,1.442108,1.609628,0.291191,0.365781,0.320212,1.990278,3.515534,1.099753,0.752414,0.534272,1.53781,1.341358,0.506313,0.292096,0.189756
1.358667,1.687262,0.656705,0.283901,0.27588,1.65612,1.043589,0.629781,0.286735,0.271391,1.755549,1.417472,0.464248,0.322142,0.276802,0.708587,0.25008,0.287751,0.163525,0.143694,0.552572,4.192497,1.556855,0.998504,0.866889,0.802811,1.930613,0.791586,0.94147,0.778642,1.442215,1.656081,1.070373,0.902567,0.474239,1.276437,1.333487,1.095879,0.511294,0.409071,3.410656,3.416138,0.934922,0.692996,0.398278,1.748099,1.962632,0.443788,0.448095,0.306812,2.264468,4.654054,1.53563,0.928459,0.487744,1.605991,1.614103,0.66466,0.365504,0.176876
1.516503,1.859878,0.903349,0.330917,0.250143,1.486586,1.203762,0.880388,0.324221,0.261693,2.055891,1.570746,0.665991,0.387181,0.274589,0.822134,0.25731,0.317951,0.195883,0.147023,0.59629,4.218211,1.619796,0.955962,0.970737,1.118012,1.913847,0.715573,0.880105,0.770052,1.877275,1.939389,1.081321,0.980569,0.475617,1.088949,1.562188,1.118548,0.571466,0.396863,4.206444,4.141251,1.24967,0.785358,0.365924,2.042648,2.193636,0.67023,0.545588,0.282844,2.835818,5.604282,2.007033,1.059877,0.432887,1.544335,1.762396,0.832302,0.432737,0.163178
1.62403,1.867047,1.140784,0.373581,0.217662,1.344141,1.283976,1.101884,0.352682,0.248145,2.358253,1.62351,0.880007,0.443311,0.266674,0.941516,0.255835,0.353469,0.222503,0.150792,0.805035,3.989352,1.563914,1.025001,1.090397,1.522327,1.916644,0.635406,0.84593,0.745409,2.44401,2.32786,1.129116,1.060515,0.491991,1.106509,1.779116,1.114988,0.610772,0.395309,4.741633,4.516442,1.528662,0.825805,0.337101,2.338188,2.2529,0.903489,0.633892,0.253162,3.360999,6.136526,2.386338,1.104952,0.383679,1.452484,1.754347,0.979374,0.478658,0.154141
